{u'f1_score': 0.2994336511748355, u'expanded_weighting': 0.1, u'representation': u'BoC', u'test': 0, u'smoothing': 0.001, u'tfidf': False, u'weighting': u'milne', u'train': 150, u'stemming': u'porter', u'classify_method': u'mbayes', u'KBest': 3000, u'expansion_relatedness': 0.9, u'threshold': 0.01, u'expansion_threshold': 0.7, u'corpus': u'reuters_21578_expanded'}
{u'f1_score': 0.309900584487276, u'expanded_weighting': 0.1, u'representation': u'BoC', u'test': 0, u'smoothing': 0.001, u'tfidf': False, u'weighting': u'milne', u'train': 20, u'stemming': u'porter', u'classify_method': u'mbayes', u'KBest': 3000, u'expansion_relatedness': 0.7, u'threshold': 0.01, u'expansion_threshold': 0.7, u'corpus': u'reuters_21578_expanded'}
{u'f1_score': 0.27029109505945503, u'expanded_weighting': 0.1, u'representation': u'BoC', u'test': 0, u'smoothing': 0.001, u'tfidf': False, u'weighting': u'milne', u'train': 20, u'stemming': u'porter', u'classify_method': u'mbayes', u'KBest': 3000, u'expansion_relatedness': 0.9, u'threshold': 0.01, u'expansion_threshold': 0.7, u'corpus': u'reuters_21578_expanded'}
{u'f1_score': 0.2962546643239385, u'expanded_weighting': 0.1, u'representation': u'BoC', u'test': 0, u'smoothing': 0.001, u'tfidf': False, u'weighting': u'milne', u'train': 100, u'stemming': u'porter', u'classify_method': u'mbayes', u'KBest': 3000, u'expansion_relatedness': 0.7, u'threshold': 0.01, u'expansion_threshold': 0.8, u'corpus': u'reuters_21578_expanded'}
{u'f1_score': 0.31368132902608864, u'expanded_weighting': None, u'representation': u'BoC', u'test': 0, u'smoothing': 0.001, u'tfidf': False, u'weighting': u'milne', u'train': 30, u'stemming': u'porter', u'classify_method': u'mbayes', u'KBest': 3000, u'expansion_relatedness': None, u'threshold': 0.01, u'expansion_threshold': None, u'corpus': u'reuters_21578'}
{u'f1_score': 0.33126807364814986, u'expanded_weighting': None, u'representation': u'BoW', u'test': 0, u'smoothing': 0.001, u'tfidf': False, u'weighting': u'milne', u'train': 10, u'stemming': u'porter', u'classify_method': u'mbayes', u'KBest': 3000, u'expansion_relatedness': None, u'threshold': 0.01, u'expansion_threshold': None, u'corpus': u'reuters_21578'}
{u'f1_score': 0.24543743015761466, u'expanded_weighting': 0.1, u'representation': u'BoC', u'test': 0, u'smoothing': 0.001, u'tfidf': False, u'weighting': u'milne', u'train': 15, u'stemming': u'porter', u'classify_method': u'mbayes', u'KBest': 3000, u'expansion_relatedness': 0.7, u'threshold': 0.01, u'expansion_threshold': 0.9, u'corpus': u'reuters_21578_expanded'}
{u'f1_score': 0.3468983691286224, u'expanded_weighting': 0.1, u'representation': u'BoC', u'test': 0, u'smoothing': 0.001, u'tfidf': False, u'weighting': u'milne', u'train': 40, u'stemming': u'porter', u'classify_method': u'mbayes', u'KBest': 3000, u'expansion_relatedness': 0.7, u'threshold': 0.01, u'expansion_threshold': 0.7, u'corpus': u'reuters_21578_expanded'}
{u'f1_score': 0.26460629177828465, u'expanded_weighting': None, u'representation': u'BoW', u'test': 0, u'smoothing': 0.001, u'tfidf': False, u'weighting': u'milne', u'train': 5, u'stemming': u'porter', u'classify_method': u'mbayes', u'KBest': 3000, u'expansion_relatedness': None, u'threshold': 0.01, u'expansion_threshold': None, u'corpus': u'reuters_21578'}
{u'f1_score': 0.26371004296863304, u'expanded_weighting': 0.1, u'representation': u'BoC', u'test': 0, u'smoothing': 0.001, u'tfidf': False, u'weighting': u'milne', u'train': 25, u'stemming': u'porter', u'classify_method': u'mbayes', u'KBest': 3000, u'expansion_relatedness': 0.9, u'threshold': 0.01, u'expansion_threshold': 0.7, u'corpus': u'reuters_21578_expanded'}
{u'f1_score': 0.267115986108687, u'expanded_weighting': 0.1, u'representation': u'BoC', u'test': 0, u'smoothing': 0.001, u'tfidf': False, u'weighting': u'milne', u'train': 25, u'stemming': u'porter', u'classify_method': u'mbayes', u'KBest': 3000, u'expansion_relatedness': 0.8, u'threshold': 0.01, u'expansion_threshold': 0.7, u'corpus': u'reuters_21578_expanded'}
{u'f1_score': 0.30490565716576506, u'expanded_weighting': None, u'representation': u'BoC', u'test': 0, u'smoothing': 0.001, u'tfidf': False, u'weighting': u'milne', u'train': 25, u'stemming': u'porter', u'classify_method': u'mbayes', u'KBest': 3000, u'expansion_relatedness': None, u'threshold': 0.01, u'expansion_threshold': None, u'corpus': u'reuters_21578'}
{u'f1_score': 0.26371004296863304, u'expanded_weighting': 0.1, u'representation': u'BoC', u'test': 0, u'smoothing': 0.001, u'tfidf': False, u'weighting': u'milne', u'train': 25, u'stemming': u'porter', u'classify_method': u'mbayes', u'KBest': 3000, u'expansion_relatedness': 0.9, u'threshold': 0.01, u'expansion_threshold': 0.8, u'corpus': u'reuters_21578_expanded'}
{u'f1_score': 0.1890637872411484, u'expanded_weighting': 0.1, u'representation': u'BoC', u'test': 0, u'smoothing': 0.001, u'tfidf': False, u'weighting': u'milne', u'train': 5, u'stemming': u'porter', u'classify_method': u'mbayes', u'KBest': 3000, u'expansion_relatedness': 0.9, u'threshold': 0.01, u'expansion_threshold': 0.9, u'corpus': u'reuters_21578_expanded'}
{u'f1_score': 0.27594100509025943, u'expanded_weighting': 0.1, u'representation': u'BoC', u'test': 0, u'smoothing': 0.001, u'tfidf': False, u'weighting': u'milne', u'train': 30, u'stemming': u'porter', u'classify_method': u'mbayes', u'KBest': 3000, u'expansion_relatedness': 0.8, u'threshold': 0.01, u'expansion_threshold': 0.9, u'corpus': u'reuters_21578_expanded'}
{u'f1_score': 0.2748603190855, u'expanded_weighting': 0.1, u'representation': u'BoC', u'test': 0, u'smoothing': 0.001, u'tfidf': False, u'weighting': u'milne', u'train': 30, u'stemming': u'porter', u'classify_method': u'mbayes', u'KBest': 3000, u'expansion_relatedness': 0.9, u'threshold': 0.01, u'expansion_threshold': 0.7, u'corpus': u'reuters_21578_expanded'}
{u'f1_score': 0.272972841332102, u'expanded_weighting': 0.1, u'representation': u'BoC', u'test': 0, u'smoothing': 0.001, u'tfidf': False, u'weighting': u'milne', u'train': 20, u'stemming': u'porter', u'classify_method': u'mbayes', u'KBest': 3000, u'expansion_relatedness': 0.7, u'threshold': 0.01, u'expansion_threshold': 0.8, u'corpus': u'reuters_21578_expanded'}
{u'f1_score': 0.26371004296863304, u'expanded_weighting': 0.1, u'representation': u'BoC', u'test': 0, u'smoothing': 0.001, u'tfidf': False, u'weighting': u'milne', u'train': 25, u'stemming': u'porter', u'classify_method': u'mbayes', u'KBest': 3000, u'expansion_relatedness': 0.9, u'threshold': 0.01, u'expansion_threshold': 0.9, u'corpus': u'reuters_21578_expanded'}
{u'f1_score': 0.29397894625521725, u'expanded_weighting': 0.1, u'representation': u'BoC', u'test': 0, u'smoothing': 0.001, u'tfidf': False, u'weighting': u'milne', u'train': 40, u'stemming': u'porter', u'classify_method': u'mbayes', u'KBest': 3000, u'expansion_relatedness': 0.7, u'threshold': 0.01, u'expansion_threshold': 0.9, u'corpus': u'reuters_21578_expanded'}
{u'f1_score': 0.2870709446626427, u'expanded_weighting': 0.1, u'representation': u'BoC', u'test': 0, u'smoothing': 0.001, u'tfidf': False, u'weighting': u'milne', u'train': 30, u'stemming': u'porter', u'classify_method': u'mbayes', u'KBest': 3000, u'expansion_relatedness': 0.8, u'threshold': 0.01, u'expansion_threshold': 0.7, u'corpus': u'reuters_21578_expanded'}
{u'f1_score': 0.3021796135450145, u'expanded_weighting': 0.1, u'representation': u'BoC', u'test': 0, u'smoothing': 0.001, u'tfidf': False, u'weighting': u'milne', u'train': 75, u'stemming': u'porter', u'classify_method': u'mbayes', u'KBest': 3000, u'expansion_relatedness': 0.7, u'threshold': 0.01, u'expansion_threshold': 0.8, u'corpus': u'reuters_21578_expanded'}
{u'f1_score': 0.3784695421649209, u'expanded_weighting': None, u'representation': u'BoC', u'test': 0, u'smoothing': 0.001, u'tfidf': False, u'weighting': u'milne', u'train': 75, u'stemming': u'porter', u'classify_method': u'mbayes', u'KBest': 3000, u'expansion_relatedness': None, u'threshold': 0.01, u'expansion_threshold': None, u'corpus': u'reuters_21578'}
{u'f1_score': 0.4117636085614806, u'expanded_weighting': None, u'representation': u'BoW', u'test': 0, u'smoothing': 0.001, u'tfidf': False, u'weighting': u'milne', u'train': 100, u'stemming': u'porter', u'classify_method': u'mbayes', u'KBest': 3000, u'expansion_relatedness': None, u'threshold': 0.01, u'expansion_threshold': None, u'corpus': u'reuters_21578'}
{u'f1_score': 0.29604359968617533, u'expanded_weighting': 0.1, u'representation': u'BoC', u'test': 0, u'smoothing': 0.001, u'tfidf': False, u'weighting': u'milne', u'train': 150, u'stemming': u'porter', u'classify_method': u'mbayes', u'KBest': 3000, u'expansion_relatedness': 0.8, u'threshold': 0.01, u'expansion_threshold': 0.8, u'corpus': u'reuters_21578_expanded'}
{u'f1_score': 0.24505780567871455, u'expanded_weighting': 0.1, u'representation': u'BoC', u'test': 0, u'smoothing': 0.001, u'tfidf': False, u'weighting': u'milne', u'train': 15, u'stemming': u'porter', u'classify_method': u'mbayes', u'KBest': 3000, u'expansion_relatedness': 0.9, u'threshold': 0.01, u'expansion_threshold': 0.9, u'corpus': u'reuters_21578_expanded'}
{u'f1_score': 0.2672597915194027, u'expanded_weighting': 0.1, u'representation': u'BoC', u'test': 0, u'smoothing': 0.001, u'tfidf': False, u'weighting': u'milne', u'train': 25, u'stemming': u'porter', u'classify_method': u'mbayes', u'KBest': 3000, u'expansion_relatedness': 0.8, u'threshold': 0.01, u'expansion_threshold': 0.8, u'corpus': u'reuters_21578_expanded'}
{u'f1_score': 0.29261931621103965, u'expanded_weighting': 0.1, u'representation': u'BoC', u'test': 0, u'smoothing': 0.001, u'tfidf': False, u'weighting': u'milne', u'train': 75, u'stemming': u'porter', u'classify_method': u'mbayes', u'KBest': 3000, u'expansion_relatedness': 0.8, u'threshold': 0.01, u'expansion_threshold': 0.7, u'corpus': u'reuters_21578_expanded'}
{u'f1_score': 0.2981565107690018, u'expanded_weighting': 0.1, u'representation': u'BoC', u'test': 0, u'smoothing': 0.001, u'tfidf': False, u'weighting': u'milne', u'train': 100, u'stemming': u'porter', u'classify_method': u'mbayes', u'KBest': 3000, u'expansion_relatedness': 0.8, u'threshold': 0.01, u'expansion_threshold': 0.9, u'corpus': u'reuters_21578_expanded'}
{u'f1_score': 0.18556026135721979, u'expanded_weighting': 0.1, u'representation': u'BoC', u'test': 0, u'smoothing': 0.001, u'tfidf': False, u'weighting': u'milne', u'train': 5, u'stemming': u'porter', u'classify_method': u'mbayes', u'KBest': 3000, u'expansion_relatedness': 0.8, u'threshold': 0.01, u'expansion_threshold': 0.8, u'corpus': u'reuters_21578_expanded'}
{u'f1_score': 0.37458760816796266, u'expanded_weighting': None, u'representation': u'BoC', u'test': 0, u'smoothing': 0.001, u'tfidf': False, u'weighting': u'milne', u'train': 150, u'stemming': u'porter', u'classify_method': u'mbayes', u'KBest': 3000, u'expansion_relatedness': None, u'threshold': 0.01, u'expansion_threshold': None, u'corpus': u'reuters_21578'}
{u'f1_score': 0.20847620066998243, u'expanded_weighting': 0.1, u'representation': u'BoC', u'test': 0, u'smoothing': 0.001, u'tfidf': False, u'weighting': u'milne', u'train': 10, u'stemming': u'porter', u'classify_method': u'mbayes', u'KBest': 3000, u'expansion_relatedness': 0.8, u'threshold': 0.01, u'expansion_threshold': 0.8, u'corpus': u'reuters_21578_expanded'}
{u'f1_score': 0.2969472287657402, u'expanded_weighting': 0.1, u'representation': u'BoC', u'test': 0, u'smoothing': 0.001, u'tfidf': False, u'weighting': u'milne', u'train': 150, u'stemming': u'porter', u'classify_method': u'mbayes', u'KBest': 3000, u'expansion_relatedness': 0.7, u'threshold': 0.01, u'expansion_threshold': 0.8, u'corpus': u'reuters_21578_expanded'}
{u'f1_score': 0.2699044818190162, u'expanded_weighting': 0.1, u'representation': u'BoC', u'test': 0, u'smoothing': 0.001, u'tfidf': False, u'weighting': u'milne', u'train': 20, u'stemming': u'porter', u'classify_method': u'mbayes', u'KBest': 3000, u'expansion_relatedness': 0.8, u'threshold': 0.01, u'expansion_threshold': 0.7, u'corpus': u'reuters_21578_expanded'}
{u'f1_score': 0.26731256900308353, u'expanded_weighting': 0.1, u'representation': u'BoC', u'test': 0, u'smoothing': 0.001, u'tfidf': False, u'weighting': u'milne', u'train': 25, u'stemming': u'porter', u'classify_method': u'mbayes', u'KBest': 3000, u'expansion_relatedness': 0.7, u'threshold': 0.01, u'expansion_threshold': 0.9, u'corpus': u'reuters_21578_expanded'}
{u'f1_score': 0.3377039350909753, u'expanded_weighting': None, u'representation': u'BoW', u'test': 0, u'smoothing': 0.001, u'tfidf': False, u'weighting': u'milne', u'train': 25, u'stemming': u'porter', u'classify_method': u'mbayes', u'KBest': 3000, u'expansion_relatedness': None, u'threshold': 0.01, u'expansion_threshold': None, u'corpus': u'reuters_21578'}
{u'f1_score': 0.2748603190855, u'expanded_weighting': 0.1, u'representation': u'BoC', u'test': 0, u'smoothing': 0.001, u'tfidf': False, u'weighting': u'milne', u'train': 30, u'stemming': u'porter', u'classify_method': u'mbayes', u'KBest': 3000, u'expansion_relatedness': 0.9, u'threshold': 0.01, u'expansion_threshold': 0.8, u'corpus': u'reuters_21578_expanded'}
{u'f1_score': 0.3006611028007302, u'expanded_weighting': 0.1, u'representation': u'BoC', u'test': 0, u'smoothing': 0.001, u'tfidf': False, u'weighting': u'milne', u'train': 50, u'stemming': u'porter', u'classify_method': u'mbayes', u'KBest': 3000, u'expansion_relatedness': 0.7, u'threshold': 0.01, u'expansion_threshold': 0.8, u'corpus': u'reuters_21578_expanded'}
{u'f1_score': 0.20730570402784826, u'expanded_weighting': 0.1, u'representation': u'BoC', u'test': 0, u'smoothing': 0.001, u'tfidf': False, u'weighting': u'milne', u'train': 10, u'stemming': u'porter', u'classify_method': u'mbayes', u'KBest': 3000, u'expansion_relatedness': 0.9, u'threshold': 0.01, u'expansion_threshold': 0.8, u'corpus': u'reuters_21578_expanded'}
{u'f1_score': 0.32062660974558044, u'expanded_weighting': None, u'representation': u'BoW', u'test': 0, u'smoothing': 0.001, u'tfidf': False, u'weighting': u'milne', u'train': 20, u'stemming': u'porter', u'classify_method': u'mbayes', u'KBest': 3000, u'expansion_relatedness': None, u'threshold': 0.01, u'expansion_threshold': None, u'corpus': u'reuters_21578'}
{u'f1_score': 0.211090986541638, u'expanded_weighting': 0.1, u'representation': u'BoC', u'test': 0, u'smoothing': 0.001, u'tfidf': False, u'weighting': u'milne', u'train': 10, u'stemming': u'porter', u'classify_method': u'mbayes', u'KBest': 3000, u'expansion_relatedness': 0.7, u'threshold': 0.01, u'expansion_threshold': 0.9, u'corpus': u'reuters_21578_expanded'}
{u'f1_score': 0.2639192489541494, u'expanded_weighting': 0.1, u'representation': u'BoC', u'test': 0, u'smoothing': 0.001, u'tfidf': False, u'weighting': u'milne', u'train': 25, u'stemming': u'porter', u'classify_method': u'mbayes', u'KBest': 3000, u'expansion_relatedness': 0.8, u'threshold': 0.01, u'expansion_threshold': 0.9, u'corpus': u'reuters_21578_expanded'}
{u'f1_score': 0.2490311431943747, u'expanded_weighting': 0.1, u'representation': u'BoC', u'test': 0, u'smoothing': 0.001, u'tfidf': False, u'weighting': u'milne', u'train': 15, u'stemming': u'porter', u'classify_method': u'mbayes', u'KBest': 3000, u'expansion_relatedness': 0.8, u'threshold': 0.01, u'expansion_threshold': 0.7, u'corpus': u'reuters_21578_expanded'}
{u'f1_score': 0.30234392481998223, u'expanded_weighting': 0.1, u'representation': u'BoC', u'test': 0, u'smoothing': 0.001, u'tfidf': False, u'weighting': u'milne', u'train': 100, u'stemming': u'porter', u'classify_method': u'mbayes', u'KBest': 3000, u'expansion_relatedness': 0.8, u'threshold': 0.01, u'expansion_threshold': 0.7, u'corpus': u'reuters_21578_expanded'}
{u'f1_score': 0.270616999752, u'expanded_weighting': 0.1, u'representation': u'BoC', u'test': 0, u'smoothing': 0.001, u'tfidf': False, u'weighting': u'milne', u'train': 20, u'stemming': u'porter', u'classify_method': u'mbayes', u'KBest': 3000, u'expansion_relatedness': 0.8, u'threshold': 0.01, u'expansion_threshold': 0.9, u'corpus': u'reuters_21578_expanded'}
{u'f1_score': 0.29115086125257056, u'expanded_weighting': 0.1, u'representation': u'BoC', u'test': 0, u'smoothing': 0.001, u'tfidf': False, u'weighting': u'milne', u'train': 100, u'stemming': u'porter', u'classify_method': u'mbayes', u'KBest': 3000, u'expansion_relatedness': 0.8, u'threshold': 0.01, u'expansion_threshold': 0.8, u'corpus': u'reuters_21578_expanded'}
{u'f1_score': 0.30694342032619293, u'expanded_weighting': 0.1, u'representation': u'BoC', u'test': 0, u'smoothing': 0.001, u'tfidf': False, u'weighting': u'milne', u'train': 100, u'stemming': u'porter', u'classify_method': u'mbayes', u'KBest': 3000, u'expansion_relatedness': 0.7, u'threshold': 0.01, u'expansion_threshold': 0.9, u'corpus': u'reuters_21578_expanded'}
{u'f1_score': 0.18316272365840633, u'expanded_weighting': 0.1, u'representation': u'BoC', u'test': 0, u'smoothing': 0.001, u'tfidf': False, u'weighting': u'milne', u'train': 5, u'stemming': u'porter', u'classify_method': u'mbayes', u'KBest': 3000, u'expansion_relatedness': 0.7, u'threshold': 0.01, u'expansion_threshold': 0.8, u'corpus': u'reuters_21578_expanded'}
